Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Is_Heavily_Polluted,Distance_to_Oil_Spill_km,Nearest_Oil_Spill_Gallons,Percent_Bleaching
18.72,-87.701,262.15,300.88,6.15,5,0.44,170.3873166,283.94,0,316.6434432,3450,63.6
20.099,-87.462,299.49,300.78,8.05,5,-0.23,25.9835177,283.94,0,471.2375861,3450,63.6
19.883,-87.426,302.01,300.83,6.1,3,0.27,39.44161036,283.94,0,447.6373757,3450,63.6
18.721,-87.692,302.26,300.88,5.35,4,0.99,170.0104073,283.94,0,316.7930346,3450,63.6
11.222,-60.784,301.2,300.46,7,6,0.46,178.8292541,376.86,0,75.9426543,3450,63.6
25.398,-80.161,300.71,299.76,3,8,0.19,195.309943,408.45,0,4.434402449,3000,63.6
18.321,-64.615,299.06,300.32,3,7,-0.35,210.5742201,366.17,0,8.935214808,300,63.8
18.321,-64.615,299.06,300.32,10,7,-0.35,210.5742201,366.17,0,8.935214808,300,63.8
18.099,-67.938,299.45,300.58,10,6,0.2,49.00462086,497.53,1,2.897535165,3450,63.8
25.053,-80.362,300.97,299.88,3.6,7,0,218.6707968,408.45,0,3.622329587,3450,63.9
18.707,-87.706,262.15,300.88,12.5,4,0.42,171.9232501,283.94,0,315.1787829,3450,64
18.681,-87.711,262.15,300.88,16.1,6,-0.25,174.8437682,283.94,0,312.2702504,3450,64
17.767,-64.619,301.24,300.38,13.4,6,0.56,211.7274197,435.4,0,1.708806848,15,64
20.052,-87.466,299.66,300.78,6.3,5,0.16,28.72550292,283.94,0,465.9947565,3450,64.3
19.934,-87.434,300.07,300.81,12.65,5,-0.04,35.19912702,283.94,0,453.2074487,3450,64.3
18.675,-87.708,262.15,300.88,8.95,4,0.51,175.3932256,283.94,0,311.6151519,3450,64.3
18.704,-87.702,262.15,300.88,14.8,4,1.31,172.1220237,283.94,0,314.8615691,3450,64.3
18.634,-87.718,262.15,300.87,19.55,5,1.06,180.0640438,283.94,0,307.0213077,3450,64.3
11.331,-60.555,300.06,300.32,12,6,-0.21,151.1893809,376.86,0,101.782705,3450,64.3
24.991,-80.411,300.98,299.85,6.1,8,0.16,224.7865347,408.45,0,7.856498259,3450,64.3
11.332,-60.555,300.06,300.32,7,6,-0.21,151.1511739,376.86,0,101.8602951,3450,64.6
19.933,-87.432,302.09,300.81,15.85,4,0.36,35.16322338,283.94,0,453.1156603,3450,64.7
