Latitude_Degrees,Longitude_Degrees,ClimSST,Temperature_Mean,Depth_m,Windspeed,SSTA,Distance_to_Plastic_km,Nearest_Plastic_Weight_kg,Percent_Bleaching
20.052,-87.466,302.15,300.78,6.4,3.0,1.45,28.725502922806164,283.94,58.8
18.718,-87.693,301.31,300.88,10.8,4.0,0.36,170.36015720685413,283.94,58.8
17.767,-64.583,301.22,300.38,11.0,6.0,0.01,213.25691499817887,435.4,58.8
17.767,-64.828,300.34,300.48,13.0,3.0,0.29,204.0451593653923,435.4,59.0
18.279,-64.898,301.82,300.4,15.0,4.0,2.53,193.80479669858656,366.17,59.1
18.072,-67.938,299.47,300.62,14.0,6.0,0.27,48.45629342552623,497.53,59.2
17.766,-64.581,301.22,300.38,5.2,6.0,0.01,213.24214927869272,435.4,59.3
18.38,-64.711,298.81,300.31,5.0,8.0,0.62,198.74086470989542,366.17,59.4
25.036,-80.403,302.47,299.81,3.0,4.0,0.13,223.06528399565607,408.45,59.4
18.386,-64.485,298.82,300.3,20.0,8.0,0.33,215.92436088832025,366.17,59.5
25.435,-80.136,302.43,299.83,4.05,3.0,0.67,192.87626892437578,408.45,59.5
25.009,-80.447,300.9,299.8,3.0,7.0,0.0,227.96677818018276,408.45,59.5
23.831,-76.198,299.84,299.83,3.65,6.0,0.49,85.3394777469631,481.07,60.0
17.5,-87.758,301.16,300.97,11.25,9.0,-0.98,123.70776485954606,465.85,60.0
18.35,-64.61,298.98,300.29,10.0,7.0,-0.14,208.7317872625039,366.17,60.0
18.384,-64.735,299.01,300.31,5.0,7.0,0.35,196.63122043978075,366.17,60.0
18.386,-64.485,299.04,300.3,20.0,7.0,-0.24,215.92436088832025,366.17,60.0
18.357,-64.589,298.98,300.29,15.0,7.0,-0.14,209.82304076498193,366.17,60.0
18.441,-64.548,262.15,300.25,5.0,7.0,0.33,206.90127981006336,366.17,60.0
10.627,103.313,301.83,302.23,7.0,3.0,1.78,39.070102481653116,279.06,60.0
9.807,-75.833,302.64,302.05,1.5,1.0,0.3,138.50794411469715,20.14,60.0
22.633,-78.646,300.18,300.25,8.5,7.0,-0.56,107.9298356032839,143.42,60.0
19.34,-69.499,301.3,300.33,5.0,6.0,0.36,64.6990287052242,321.05,60.0
-18.159,178.399,262.15,299.75,6.75,5.0,1.07,107.44125023010218,478.49,60.0
7.08,171.392,301.16,301.51,1.0,7.0,0.14,192.9469343394523,424.9,60.0
7.158,171.069,301.08,301.55,2.0,7.0,-1.3,188.83124464902613,424.9,60.0
-19.661,63.413,300.02,298.39,3.0,4.0,1.82,133.9494337279168,151.29,60.0
20.017,-87.462,302.21,300.76,9.0,3.0,0.25,30.60981798851405,283.94,60.0
18.707,-87.704,262.15,300.88,13.4,6.0,-0.38,171.862675974647,283.94,60.0
18.707,-87.706,262.15,300.88,10.05,6.0,-0.34,171.92325007322452,283.94,60.0
18.681,-87.713,262.15,300.88,8.95,4.0,0.51,174.90419924497655,283.94,60.0
19.933,-87.432,301.57,300.81,18.6,4.0,1.57,35.163223384214135,283.94,60.0
18.707,-87.707,262.15,300.88,5.95,4.0,1.0,171.95362501482035,283.94,60.0
20.05,-87.47,301.7,300.78,3.55,4.0,1.66,29.1979472480393,283.94,60.0
18.667,-87.714,262.15,300.88,15.75,6.0,-0.25,176.42586909485698,283.94,60.0
18.667,-87.714,262.15,300.88,15.95,6.0,-0.25,176.42586909485698,283.94,60.0
18.667,-87.717,262.15,300.88,4.75,6.0,-0.25,176.51635719546053,283.94,60.0
18.667,-87.717,262.15,300.88,5.75,6.0,-0.25,176.51635719546053,283.94,60.0
19.883,-87.426,302.01,300.83,3.05,4.0,0.15,39.44161036279634,283.94,60.0
18.634,-87.72,262.15,300.87,4.6,5.0,1.06,180.12359497474534,283.94,60.0
18.704,-87.704,262.15,300.88,12.5,4.0,0.51,172.18225231651314,283.94,60.0
20.038,-87.466,301.38,300.78,10.25,4.0,0.1,29.56953690673031,283.94,60.0
18.635,-87.722,262.15,300.87,4.6,5.0,1.06,180.0767632378287,283.94,60.0
17.623,-63.22,301.84,300.42,14.0,4.0,0.15,71.07565074484569,331.22,60.0
24.3655,54.1008,302.88,300.76,4.0,3.0,0.68,94.38307356165573,61.46,60.0
18.374,-64.934,301.22,300.34,11.0,6.0,1.3,183.23923702864755,366.17,60.0
18.263,-64.872,301.82,300.4,22.0,4.0,2.53,196.9170418065331,366.17,60.0
18.319,-64.836,300.17,300.36,10.0,3.0,0.55,194.62104986988987,366.17,60.0
25.966,-80.114,300.89,299.75,5.6,7.0,0.44,183.7115436813174,359.44,60.0
17.787,-64.604,299.17,300.38,12.19,7.0,-0.29,214.39776737741622,435.4,60.0
25.423,-80.151,302.43,299.83,2.55,3.0,0.67,194.3475692705301,408.45,60.4
18.263,-64.872,299.12,300.4,3.5,7.0,-0.31,196.9170418065331,366.17,60.5
18.718,-87.693,299.45,300.88,8.55,6.0,-0.34,170.36015720685413,283.94,60.9
18.313,-64.861,301.82,300.36,7.0,4.0,1.68,193.3969024206461,366.17,60.9
17.899,-62.877,301.6,300.27,11.0,5.0,1.49,56.485361423392014,331.22,61.0
14.447,-60.905,299.41,300.37,12.0,8.0,0.19,130.34587242951895,130.93,61.0
17.762,-64.699,300.25,300.4,9.0,9.0,0.46,208.02143560808122,435.4,61.0
25.365,-80.189,300.73,299.75,4.05,8.0,1.06,198.12866676353343,408.45,61.3
18.634,-87.719,262.15,300.87,9.1,5.0,1.06,180.09379131292158,283.94,61.5
19.967,-87.453,262.15,300.81,10.8,4.0,0.6,33.67227159511623,283.94,61.5
19.967,-87.453,262.15,300.81,9.95,6.0,-1.19,33.67227159511623,283.94,61.5
19.973,-87.453,262.15,300.81,17.6,4.0,0.6,33.190503472682984,283.94,61.5
15.255,-61.261,262.15,300.4,3.5,7.0,0.11,62.56925643046846,130.93,61.8
18.72,-87.698,299.45,300.88,14.5,6.0,-0.34,170.2967001246325,283.94,61.8
18.704,-87.704,262.15,300.88,9.6,7.0,-1.51,172.18225231651314,283.94,61.9
18.704,-87.704,262.15,300.88,9.8,7.0,-1.51,172.18225231651314,283.94,61.9
18.704,-87.702,262.15,300.88,15.85,4.0,0.91,172.12202374028053,283.94,61.9
18.295,-64.868,262.15,300.38,18.0,7.0,1.09,194.44595481912052,366.17,61.9
24.618,-81.19,302.59,299.89,7.6,4.0,0.89,217.78963833104035,275.27,61.9
7.07,171.295,301.43,301.51,1.0,4.0,-0.91,187.5465765692374,424.9,62.0
25.362,-80.154,302.44,299.86,5.85,3.0,0.82,194.61615854073682,408.45,62.3
23.71,-76.076,299.48,299.83,3.12,6.0,1.3,67.14814052236032,481.07,62.5
23.831,-76.198,299.84,299.83,3.65,6.0,0.49,85.3394777469631,481.07,62.5
13.06,-59.557,301.29,300.43,11.5,7.0,-0.22,144.459679264593,376.86,62.5
17.994,-87.901,301.6,300.87,12.75,4.0,1.74,166.37277368070457,465.85,62.5
17.538,-87.744,301.15,300.99,11.85,9.0,-1.59,128.041143450864,465.85,62.5
23.177,-82.098,301.06,300.3,2.0,8.0,1.1,42.71731870733915,275.27,62.5
19.932,-87.434,300.07,300.81,7.1,5.0,-0.04,35.37717889393291,283.94,62.5
18.66,-87.709,262.15,300.87,10.25,4.0,0.86,177.02292991914655,283.94,62.5
18.704,-87.704,262.15,300.88,10.1,4.0,0.91,172.18225231651314,283.94,62.5
11.193,-60.827,300.33,300.49,12.0,6.0,-1.15,184.36960408727882,376.86,62.5
17.785,-64.609,298.92,300.38,12.0,8.0,0.4,213.98422021837757,435.4,62.5
18.256,-65.592,301.89,300.46,5.0,4.0,1.55,160.62889572078922,366.17,62.5
18.309,-65.655,262.15,300.44,5.0,4.0,1.43,153.04808095756624,366.17,62.5
17.783,-64.649,301.24,300.38,11.3,6.0,0.56,212.1438590006542,435.4,62.5
17.8,-64.63,301.19,300.38,3.7,6.0,0.29,214.6570826804764,435.4,62.6
13.122,-59.649,301.92,300.53,11.5,5.0,1.64,153.68236733318253,376.86,62.7
25.109,-80.338,302.44,299.77,2.8,4.0,0.14,215.3084517349937,408.45,62.7
11.247,-60.751,301.2,300.46,12.0,6.0,0.46,174.47671038124832,376.86,62.8
20.8176,-78.9722,301.21,301.28,22.5,8.0,-0.53,196.22004422327754,442.41,63.0
20.818,-78.972,301.21,301.28,22.5,8.0,-0.53,196.2691093507405,442.41,63.0
18.667,-87.716,262.15,300.88,10.2,7.0,-1.51,176.4861373475722,283.94,63.0
-10.202,150.864,302.2,300.85,10.0,3.0,0.58,117.4310150254609,470.72,63.0
18.358,-65.033,301.86,300.41,14.0,4.0,1.27,178.09765812155482,366.17,63.0
17.802,-64.599,301.18,300.38,12.8,6.0,0.28,216.13900988991355,435.4,63.0
20.099,-87.462,302.1,300.78,8.5,3.0,1.3,25.983517696837716,283.94,63.2
11.198,-60.8,301.2,300.49,7.0,6.0,-0.65,181.42620199264837,376.86,63.2
25.604,-80.094,302.39,299.85,6.7,3.0,1.0,190.16267609618706,408.45,63.3
17.78,-64.592,301.22,300.38,12.2,6.0,0.01,214.1915668727191,435.4,63.4
20.017,-87.462,300.01,300.76,10.1,6.0,-0.57,30.60981798851405,283.94,63.6
18.72,-87.701,262.15,300.88,6.15,5.0,0.44,170.3873166009021,283.94,63.6
20.099,-87.462,299.49,300.78,8.05,5.0,-0.23,25.983517696837716,283.94,63.6
19.883,-87.426,302.01,300.83,6.1,3.0,0.27,39.44161036279634,283.94,63.6
18.721,-87.692,302.26,300.88,5.35,4.0,0.99,170.0104073332496,283.94,63.6
11.222,-60.784,301.2,300.46,7.0,6.0,0.46,178.82925408549661,376.86,63.6
25.398,-80.161,300.71,299.76,3.0,8.0,0.19,195.30994298748146,408.45,63.6
18.321,-64.615,299.06,300.32,3.0,7.0,-0.35,210.57422008047087,366.17,63.8
18.321,-64.615,299.06,300.32,10.0,7.0,-0.35,210.57422008047087,366.17,63.8
18.099,-67.938,299.45,300.58,10.0,6.0,0.2,49.004620859312,497.53,63.8
25.053,-80.362,300.97,299.88,3.6,7.0,0.0,218.67079682750628,408.45,63.9
